"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"276730","제주맥주","KOSDAQ","2180","34176636080.0","20250317","","","1560.0","0.0","보통주"
"277070","린드먼아시아","KOSDAQ","4425","60587100000.0","20250317","285.0","","4451.0","43.0","보통주"
"277410","인산가","KOSDAQ","1260","48329554140.0","20250317","141.0","","1713.0","50.0","보통주"
"277810","레인보우로보틱스","KOSDAQ","319000","6188554702000.0","20250317","","","6735.0","0.0","보통주"
"277880","티에스아이","KOSDAQ","6350","128021283200.0","20250317","","","3920.0","0.0","보통주"
"278280","천보","KOSDAQ","36400","364000000000.0","20250317","","","29866.0","0.0","보통주"
"278470","에이피알","KOSPI","69100","2573391450500.0","20250317","2249.0","3719.0","5414.0","0.0","보통주"
"278650","HLB바이오스텝","KOSDAQ","2255","195577478195.0","20250317","","","1300.0","0.0","보통주"
"279600","미디어젠","KOSDAQ","11300","52938025300.0","20250317","","","2287.0","0.0","보통주"
"280360","롯데웰푸드","KOSPI","118500","1117997019000.0","20250317","7978.0","12321.0","232340.0","3000.0","보통주"
"281740","레이크머티리얼즈","KOSDAQ","15830","1040514574840.0","20250317","367.0","500.0","1671.0","0.0","보통주"
"281820","케이씨텍","KOSPI","38600","798646467800.0","20250317","1562.0","","22307.0","180.0","보통주"
"282330","BGF리테일","KOSPI","105600","1825180473600.0","20250317","11337.0","12522.0","62197.0","4100.0","보통주"
"282720","금양그린파워","KOSDAQ","8630","104591285000.0","20250317","1695.0","","8935.0","300.0","보통주"
"282880","코윈테크","KOSDAQ","14980","166904268860.0","20250317","1110.0","","14627.0","250.0","보통주"
"284620","카이노스메드","KOSDAQ","1203","33901493979.0","20250317","","","421.0","0.0","보통주"
"284740","쿠쿠홈시스","KOSPI","21600","484646328000.0","20250317","4994.0","","35985.0","800.0","보통주"
"285130","SK케미칼","KOSPI","42600","735011155800.0","20250317","2072.0","","110405.0","650.0","보통주"
"28513K","SK케미칼우","KOSPI","20050","42414351450.0","20250317","","","","700.0","우선주"
"285490","노바텍","KOSDAQ","15680","165829030080.0","20250317","2930.0","","15227.0","500.0","보통주"
"285800","진영","KOSDAQ","2155","37663516850.0","20250317","","","2352.0","0.0","보통주"
"286750","나노브릭","KOSDAQ","2390","51417406010.0","20250317","","","471.0","0.0","보통주"
"286940","롯데이노베이트","KOSPI","19440","294114894480.0","20250317","2776.0","2162.0","27576.0","1000.0","보통주"
"288330","브릿지바이오테라퓨틱스","KOSDAQ","6570","338098500630.0","20250317","","","531.0","0.0","보통주"
"288620","에스퓨얼셀","KOSDAQ","8440","58905427040.0","20250317","","","9921.0","50.0","보통주"
"288980","모아데이타","KOSDAQ","1080","37321086960.0","20250317","7.0","","1137.0","0.0","보통주"
"289010","아이스크림에듀","KOSDAQ","2180","28043600660.0","20250317","","","3522.0","0.0","보통주"
"289080","SV인베스트먼트","KOSDAQ","1353","72890297535.0","20250317","80.0","","1402.0","20.0","보통주"
"289220","자이언트스텝","KOSDAQ","5960","132980837160.0","20250317","","","4312.0","0.0","보통주"
"289930","웨이비스","KOSDAQ","9020","112926728860.0","20250317","","","1547.0","0.0","보통주"
"290090","트윔","KOSDAQ","7550","56136273400.0","20250317","420.0","","9508.0","0.0","보통주"
"290120","DH오토리드","KOSDAQ","2340","36305422920.0","20250317","","","5438.0","0.0","보통주"
"290270","휴네시온","KOSDAQ","3465","33290583480.0","20250317","720.0","","4482.0","40.0","보통주"
"290380","대유","KOSDAQ","2300","56841307600.0","20250317","","","3410.0","0.0","보통주"
"290520","신도기연","KOSDAQ","2120","33770247440.0","20250317","","","3686.0","0.0","보통주"
"290550","디케이티","KOSDAQ","7900","158009717000.0","20250317","248.0","1535.0","7094.0","0.0","보통주"
"290560","신시웨이","KOSDAQ","6260","24276104720.0","20250317","","","5250.0","0.0","보통주"
"290650","엘앤씨바이오","KOSDAQ","21500","487725156500.0","20250317","2132.0","","6478.0","100.0","보통주"
"290660","네오펙트","KOSDAQ","792","36496468008.0","20250317","","","749.0","0.0","보통주"
"290670","대보마그네틱","KOSDAQ","12060","94763379600.0","20250317","","","9329.0","0.0","보통주"
"290690","소룩스","KOSDAQ","4200","203694720600.0","20250317","","","2131.0","0.0","보통주"
